AÃ‘O,"TOTAL DE 
SISMOS",Magnitud,,,,,,
,,0-2.9,3-3.9,4-4.9,5-5.9,6-6.9,7-7.9,8-8.9
1990,796,12,247,510,24,2,0,0
1991,728,2,183,509,29,1,0,0
1992,e,4,184,398,27,0,0,0
1993,916,47,274,548,40,5,1,0
1994,622,20,192,383,24,3,0,0
1995,678,17,188,438,26,6,2,1
1996,789,8,203,543,32,2,1,0
1997,1019,44,388,533,34,6,1,0
1998,1024,11,453,532,21,5,0,0
1999,1099,12,542,527,11,4,2,0
2000,1052,28,463,531,18,2,1,0
2001,1344,8,704,585,32,6,0,0
2002,1688,4,880,760,40,4,0,0
2003,1323,5,728,568,18,3,1,0
2004,1346,2,669,639,33,3,0,0
2005,1210,1,678,514,17,0,0,0
2006,1356,0,792,544,19,1,0,0
2007,1528,1,728,764,33,2,0,0
2008,1958,7,1154,780,15,2,0,0
2009,2301,5,1648,610,37,1,0,0
2010,3462,23,2454,954,27,3,1,0
2011,4272,44,3357,839,27,5,0,0
2012,5244,21,4106,1054,50,10,2,0
2013,5361,57,4221,1046,33,4,0,0
2014,7608,238,6365,954,42,7,1,0
2015,10946,251,9056,1605,30,3,0,0
2016,15547,557,13501,1453,29,7,0,0
2017,26564,470,21628,4383,79,2,1,1
2018,30407,1584,25657,3122,41,2,1,0
2019,26442,308,23002,3087,43,2,0,0
2020,30130,309,26756,3029,33,2,1,0